"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5285666089","COLÉGIO EVOLUÇÃO SÃO LUDGERO","","","São Ludgero","","COC (Arco)","SC","1.0","",""
"5285534737","COLÉGIO EXATHUM - UNIDADE CENTRO","","","Joinville","","COC (Arco)","SC","1.0","",""
"5284588277","COLÉGIO EXCELÊNCIA","","","Copacabana","","COC (Arco)","BA","1.0","",""
"5285636035","COLÉGIO EXCELÊNCIA ARIQUEMES","","","Ariquemes","","COC (Arco)","RO","1.0","",""
"5285531173","COLÉGIO ENSINE ARAGUAÍNA","","","Araguaína","","COC (Arco)","TO","","",""
"5285629513","COLÉGIO EQUIPE GRAU - MATRIZ/CENTRO","","","Nova Iguaçu","","COC (Arco)","RJ","1.0","",""
"5285550542","COLÉGIO EXPANSÃO DE SANTA MARIA DOS ANJOS","","","Quirinópolis","","COC (Arco)","GO","","",""
"5285545158","COLÉGIO FAG COC","","","FAG","","COC (Arco)","PR","1.0","",""
"5285627625","COLÉGIO FAMA","","Karen Bustamante","Iturama","","COC (Arco)","MG","1.0","",""
"5285524209","COLÉGIO FATO","","","Cuiabá","","COC (Arco)","MT","2.0","",""
"5284588291","COLÉGIO FUTURO PRADÓPOLIS","","","Pradópolis","","COC (Arco)","SP","","",""
"5285615682","COLÉGIO GALILEU COC","","","Santa Cruz das Palmeiras","","COC (Arco)","SP","1.0","",""
"5285515714","COLÉGIO GARDNER","","","São José","","COC (Arco)","SC","1.0","",""
"5285541971","COLÉGIO GÊNESIS","","","Itajubá","","COC (Arco)","MG","1.0","",""
"5285538218","COLÉGIO GENESIS RESENDE","","","Resende","","COC (Arco)","RJ","1.0","",""
"5285540102","COLÉGIO GENIUS","","","Campinas","","COC (Arco)","SP","","",""
"5285533393","COLÉGIO GERAÇÃO VALPARAÍSO","","","Valparaíso","","COC (Arco)","SP","1.0","",""
"5285546866","COLÉGIO GIRASSOL","","","Avanhandava","","COC (Arco)","SP","1.0","",""
"5285548999","COLÉGIO JEAN PIAGET COC","","","Ourinhos","","COC (Arco)","SP","1.0","",""
"5285538227","COLÉGIO JOSÉ CORREIA VIANNA","","","União dos Palmares","","COC (Arco)","AL","1.0","",""
"5285552703","COLÉGIO JP","","","Presidente Prudente","","COC (Arco)","SP","1.0","",""
"5285536881","ESCOLA COC ITAPOÁ","","Karen Bustamante","Itapoá","","COC (Arco)","SC","1.0","",""
"5285627633","COC CUBATÃO EVOLUÇÃO","","","Cubatão","","COC (Arco)","SP","","",""
"5285518783","COC JACUNDÁ","","","Jacundá","","COC (Arco)","PA","1.0","",""
"5285546864","COLÉGIO ÍCONE","","","Montes Claros","","COC (Arco)","MG","1.0","",""
"5285518777","COLÉGIO IMPACTO BRASÍLIA","","","Praça Interna","","COC (Arco)","DF","1.0","",""
