instituição,inep,cidade,company_domain_name,telefone,link_qedu,uf,cidade_encontrada
SABRE INOVAÇÃO E CONSULTORIA EDUCACIONAL,41389190,CURITIBA,http://www.sabreducacao.com.br/,-,http://www.qedu.org.br/escola/222145-inovacao-do-saber-e-ei-ef/sobre,PR,"CURITIBA
 "
RICCI SOLUÇÕES CONTÁBEIS EIRELI,35114431,FRANCA,https://ricciconsult.com.br/site/,(16) 3409-3551,http://qedu.org.br/escola/190181-sesi-109-ce/sobre,SP,"FRANCA
 "
COLÉGIO MARISTA ARQUIDIOCESANO DE SÃO PAULO,35107177,SÃO PAULO,https://colegiosmaristas.com.br/pagina-inicial/,(11) 5081-8444,http://www.qedu.org.br/escola/185798-arquidiocesano-de-sao-paulo-colegio-marista/sobre,SP,"SÃO PAULO
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ,41127390,CURITIBA,https://www.mackenzie.br/faculdades/curitiba/home,(41) 3240-5500,https://www.qedu.org.br/escola/223730-escola-atuacao-ltda/censo-escolar,PR,"CURITIBA
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
CAMINO EDUCATION,35133991,SÃO PAULO,https://caminoeducation.com/,(11) 98554-5711,https://www.qedu.org.br/escola/185433-ce-caminho-aberto/censo-escolar,SP,"SÃO PAULO
 "
COLÉGIO ELVIRA BRANDÃO,35107700,SÃO PAULO,https://www.elvirabrandao.com.br/,(11) 5645-4900,http://www.qedu.org.br/escola/211052-colegio-elvira-brandao/censo-escolar,SP,"SÃO PAULO
 "
GRUPO EDUCACIONAL BOM JESUS,41127722,CURITIBA,https://www.grupoeducacionalbomjesus.com.br/,-,http://www.qedu.org.br/escola/237906-colegio-bom-jesus-ensino-fundamental-e-medio/sobre,PR,"CURITIBA
 "
FUNDAÇÃO EDUCACIONAL DE LAVRAS,31354848,LAVRAS,https://www.afeesmig.org.br/fundacao-educacional-de-lavras/,-,https://www.qedu.org.br/escola/269318-colegio-losango-de-lavras/censo-escolar,MG,"LAVRAS
 "
CELIA DUGAICH PROJETOS EDUCACIONAIS,,SÃO PAULO,https://br.linkedin.com/in/celiadugaich,-,,SP,SÃO PAULO
ABMES,33105405,RIO DE JANEIRO,https://abmes.org.br/abmes-regional/agenda/detalhe/756/abmes-regional-rj-diploma-digital-impactos-na-regulacao-na-avaliacao-e-na-supervisao,http://www.qedu.org.br/escola/176866-colegio-ph/sobre,-,RJ,"RIO DE JANEIRO
 "
COLÉGIO DAMAS,26122081,RECIFE,http://www.colegiodamas.com.br/web/,http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,(81) 3139-4500,PE,"RECIFE
 "
AMPESC,42114357,FLORIANÓPOLIS,https://www.ampesc.org.br/2018/nova-diretoria-da-ampesc-toma-posse-em-florianopolis/,https://www.qedu.org.br/escola/219423-centro-de-ensino-guroo/censo-escolar,(48) 99831-1613,SC,"FLORIANÓPOLIS
 "
COLÉGIO RIACHUELO,43123988,SANTA MARIA,https://colegioriachuelo.com.br/,https://www.qedu.org.br/escola/233238-colegio-riachuelo/sobre,(55) 3223-4065,RS,"SANTA MARIA
 "
REDE LAUREATE,,SÃO PAULO,https://www.uniritter.edu.br/rede-laureate,,(11) 3896-9700,SP,SÃO PAULO
FUNDAÇÃO BRADESCO,35120947,OSASCO,https://fundacao.bradesco/Escolas?ID=3,http://www.qedu.org.br/escola/186888-bradesco-fundacao-escola-de-educacao-basica/sobre,-,SP,"OSASCO
 "
COLEGIO SALESIANO ITAJAI,42068690,ITAJAÍ,https://salesianoitajai.g12.br/,http://www.qedu.org.br/escola/225565-colegio-salesiano-itajai/sobre,(47) 3390-3300,SC,"ITAJAÍ
 "
COLÉGIO MATER CHRISTI,24002526,MOSSORÓ,https://colegiomaterchristi.com.br/,http://www.qedu.org.br/escola/68802-colegio-mater-christi/sobre,(84) 3422-0500,RN,"MOSSORÓ
 "
OUTROS,35287581,SÃO PAULO,https://saopaulosao.com.br/conteudos/outros.html,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,-,SP,"SÃO PAULO
 "
CEM ARARUAMA,33026424,ARARUAMA,http://www.cem.g12.br/,http://www.qedu.org.br/escola/175666-colegio-araruama/sobre,(22) 2664-1708,RJ,"ARARUAMA
 "
SENAI BAHIA,29460557,SALVADOR,http://www.senaibahia.com.br/,https://www.qedu.org.br/escola/276020-senai-dendezeiros/sobre,-,BA,"SALVADOR
 "
PARNES PLANEJAMENTO E TREINAMENTO EMPRESARIAL LTDA,35046024,SAO PAULO - ZONA SUL,https://br.linkedin.com/in/igdal-parnes-babb0037/en-us,http://www.qedu.org.br/escola/190470-escola-de-aplicacao-da-faculdade-de-educacao-da-usp/censo-escolar,(11) 3522-9715,SP,"SÃO PAULO
 "
COLÉGIO DAMAS,26122081,RECIFE,http://www.colegiodamas.com.br/web/,http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,(81) 3139-4500,PE,"RECIFE
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
CENTRO UNIVERSITARIO ATENEU - UNIATENEU,23271469,FORTALEZA,https://uniateneu.edu.br/,http://www.qedu.org.br/escola/61726-colegio-ateneu/sobre,-,CE,"FORTALEZA
 "
ASSOCIAÇÃO PROPAGADORA ESDEVA,,BELO HORIZONTE,http://www.svdesdeva.com.br/,,(31) 3524-5003,MG,BELO HORIZONTE
UNIVERSIDADE LA SALLE,43037682,CANOAS,https://www.unilasalle.edu.br/canoas,http://www.qedu.org.br/escola/257308-colegio-la-salle/sobre,(51) 3476-8500,RS,"CANOAS
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
FACULDADES PEQUENO PRÍNCIPE,41544897,CURITIBA,https://faculdadespequenoprincipe.edu.br/,http://www.qedu.org.br/escola/213642-cei-do-hospital-pequeno-principe/sobre,(41) 3310-1500,PR,"CURITIBA
 "
GRUPO PIMPÃO,,CURITIBA,https://www.pimpao.com.br/,https://qedu.org.br/escola/223844-cei-pimpao/censo-escolar,-,PR,"CURITIBA
 "
PERSONE,,GUARULHOS,"https://br.indeed.com/empregos-de-Persone-em-Guarulhos,-SP",,-,SP,GUARULHOS
UNIRN,,NATAL,http://www.unirn.edu.br/,,(84) 3215-2917,RN,NATAL
FUNDAÇÃO SALVADOR ARENA,35228254,SÃO BERNARDO DO CAMPO,http://www.cefsa.org.br/home/,https://www.qedu.org.br/escola/193734-em-salvador-arena-doutor/censo-escolar,-,SP,"ILHABELA
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
SENAI,29463076,BARREIRAS,http://www.fieb.org.br/senai/pagina/2778/unidade-barreiras.aspx,http://qedu.org.br/escola/275992-senai-barreiras/sobre,(77) 2103-4379,BA,"BARREIRAS
 "
INSTITUTO DE EDUCAÇÃO HARMONIA,50009095,CAMPO GRANDE,https://www.harmoniabilingue.com.br/,http://www.qedu.org.br/escola/256997-ie-harmonia-unid-i/sobre,(67) 3341-5757,MS,"CAMPO GRANDE
 "
DESCOMPLICA,,RIO DE JANEIRO,https://descomplica.com.br/sobre/quem-somos/,,(21) 3173-6139,RJ,RIO DE JANEIRO
INSTITUTO PRESBITERIANO MACKENZIE,35135227,BARUERI,https://www.mackenzie.br/colegios/alphaville-tambore,https://qedu.org.br/escola/185059-mackenzie-tambore-colegio-presbiteriano/sobre,(11) 3555-2139,SP,"BARUERI
 "
COLÉGIO ASTHER,35138769,CAMPINAS,https://www.colegioasther.com.br/,https://www.qedu.org.br/escola/182465-colegio-asther/censo-escolar,(19) 3753-6300,SP,"CAMPINAS
 "
COLÉGIO ASTHER,35138769,CAMPINAS,https://www.colegioasther.com.br/,https://www.qedu.org.br/escola/182465-colegio-asther/censo-escolar,(19) 3753-6300,SP,"CAMPINAS
 "
HELVETIA EDUCATION GROUP SA,35161937,NYON,https://helvetiaeducation.ch/,https://www.qedu.org.br/escola/200178-brazilian-international-school/censo-escolar,-,EX,"SÃO PAULO
 "
UNIJORGE,29182581,SALVADOR,https://www.unijorge.edu.br/,http://www.qedu.org.br/escola/126549-colegio-salesiano-do-salvador/sobre,(71) 3206-8000,BA,"SALVADOR
 "
UNESC,42113601,CRICIÚMA,http://www.unesc.net/portal/,http://www.qedu.org.br/escola/216060-colegio-unesc/sobre,(48) 3431-2500,SC,"CRICIÚMA
 "
MARISTA CENTRO- NORTE,53011074,BRASÍLIA,https://marista.edu.br/,http://www.qedu.org.br/escola/242941-colegio-marista-joao-paulo-ii/sobre,-,DF,"BRASÍLIA
 "
GEEKIE,35117717,SÃO PAULO,https://www.geekie.com.br/,http://www.qedu.org.br/escola/195975-colegio-atrio-tatibitati/sobre,(11) 2532-4816,SP,"SANTOS
 "
UNIFEOB,,SÃO JOÃO DA BOA VISTA,https://unifeob.edu.br/,https://qedu.org.br/escola/272564-centro-universitario-fundacao-de-ensino-octavio-bastos-unifeob/sobre,-,SP,"SÃO JOÃO DA BOA VISTA
 "
CONEXIA,35114947,RIBEIRÃO PRETO,https://conexia.com.br/,http://www.qedu.org.br/escola/188272-colegio-metodista-de-ribeirao-preto/sobre,(16) 3603-9500,SP,"RIBEIRÃO PRETO
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - UNIFEOB,,SÃO JOÃO DA BOA VISTA,https://unifeob.edu.br/,https://qedu.org.br/escola/272564-centro-universitario-fundacao-de-ensino-octavio-bastos-unifeob/sobre,-,SP,"SÃO JOÃO DA BOA VISTA
 "
LAUREATE BRASIL,,SAO PAULO,https://br.linkedin.com/company/laureate-s%C3%A3o-paulo,,-,SP,SAO PAULO
