,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
114,5285614435,COLÉGIO COC VILA YARA (EI/EM),https://www.coc.com.br/nossas-escolas/colegio-coc-vila-yara-ei-em,Karen Bustamante,Osasco,(11) 3681-8000,,COC (Arco),SP,1.0,,
115,5285534746,COLÉGIO BOM SAMARITANO,https://www.coc.com.br/nossas-escolas/colegio-bom-samaritano,Karen Bustamante,Ipuã,(16) 3832-2800,,COC (Arco),SP,1.0,,
116,5285531178,COLÉGIO COC VILA YARA (PV),https://www.coc.com.br/nossas-escolas/colegio-coc-vila-yara-pv,,Osasco,(11) 3681-8000,,COC (Arco),SP,1.0,,
117,5285614426,COLÉGIO CONHECER,https://colegioconhecer.com/,Karen Bustamante,São Mateus,(27) 3763-1142,,COC (Arco),ES,1.0,,
118,5285615674,COLÉGIO COOPERATIVO,https://www.coc.com.br/nossas-escolas/colegio-cooperativo,,Porto Ferreira,-,,COC (Arco),SP,,,
119,5285629516,COLÉGIO CORAÇÃO IMACULADO DE MARIA,https://www.coc.com.br/nossas-escolas/colegio-coracao-imaculado-de-maria,Nicole Oliveira,José Bonifácio,(17) 3245-2049,,COC (Arco),SP,1.0,,
120,5285538215,COLÉGIO COSTA AGUIAR,https://colegiocostaaguiar.com.br/,Karen Bustamante,São Paulo,(11) 2721-5720,,COC (Arco),SP,1.0,,
121,5285627627,COLÉGIO COSTA AGUIAR ARICANDUVA,https://colegiocostaaguiar.com.br/,,São Paulo,(11) 2721-5720,,COC (Arco),SP,,,
122,5285545154,COLÉGIO COSTA AGUIAR BABY,https://colegiocostaaguiar.com.br/,,São Paulo,(11) 2093-8444,,COC (Arco),SP,,,
123,5285538220,COLÉGIO CSA MARÍLIA,https://www.facebook.com/csamarilia/,,Marília,(14) 3401-1120,,COC (Arco),SP,1.0,,
124,5285538230,COLÉGIO DA UNIVERSIDADE DA REGIÃO DA CAMPANHA SANTANA DO LIVRAMENTO,https://www.coc.com.br/nossas-escolas/colegio-da-universidade-da-regiao-da-campanha-santana-do-livramento,,Sant'Ana do Livramento,-,,COC (Arco),RS,1.0,,
