place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJA1om69J5GZURiUbqmOiW7Z0,Escola de Educação Infantil Lúdica,"R. Artur Rocha, 314 - Auxiliadora, Porto Alegre - RS, 90450-170, Brazil",http://www.escolaludica.com.br/,(51) 3401-6100,43362516,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/259698-eei-ludica/sobre,,,
ChIJ24PwFqh3GZURncxdilIx4NM,Sinodal Salvador,"Av. Mathilde Trein Renner, 55 - Vila Ipiranga, Porto Alegre - RS, 91370-050, Brazil",http://www.sinodalsalvador.org.br/,(51) 3340-5509,43105670,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/215585-colegio-sinodal-do-salvador/sobre,,,
ChIJH0QtiDl5GZUR3CkavxqrjNE,Colegioconcordia,"Av. Paraná, 1924-1862 - Navegantes, Porto Alegre - RS, 90240-600, Brazil",http://colegioconcordia.com.br/,,43104967,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/231685-colegio-concordia/censo-escolar,COC (Arco),,
ChIJ6abdMcZ5GZURTviCe0OZ7p4,Núcleo Estadual de Educação de Jovens e Adultos de Cultura Popular Paulo Freire,"R. Cel. Bordini, 190 - Auxiliadora, Porto Alegre - RS, 90440-002, Brazil",,(51) 3362-5904,43169252,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254943-neejacp-paulo-freire/sobre,,,
ChIJB5JXd1J4GZURMZ7JIqz0CjI,M J C,"Av. Venâncio Aires, 777 - Cidade Baixa, Porto Alegre - RS, 91900-590, Brazil",,(51) 3084-5467,43108164,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/259225-colegio-marista-nossa-senhora-do-rosario/censo-escolar,,,
ChIJRZics9x5GZURyZTMc-EZTII,Escola de Educação Infantil Geração Alegria,"R. Carlos Von Koseritz, 505 - São João, Porto Alegre - RS, 90540-031, Brazil",http://www.geracaoalegria.com.br/,(51) 3072-7219,43367399,"PORTO ALEGRE
 ",http://qedu.org.br/escola/258128-esc-educ-inf-geracao-alegria/sobre,,,
ChIJ1XKfFy94GZURroBF1fuKJJ0,Escola Despertar Educação Infantil,"R. Armando Pereira Câmara, 110 - Petrópolis, Porto Alegre - RS, 90470-070, Brazil",http://www.escoladespertar.com.br/,(51) 3388-4238,43201466,"PORTO ALEGRE
 ",https://qedu.org.br/escola/255683-despertar-educacao-infantil-ltda/sobre,,,
ChIJWwlAJCx4GZURreOtII_2JFw,Escola Panda de Educação Infantil,"R. Comendador Rheingantz, 980 - Auxiliadora, Porto Alegre - RS, 90450-020, Brazil",,,43362443,"PORTO ALEGRE
 ",https://qedu.org.br/escola/256564-panda-escola-de-educacao-infantil-ltda-me/sobre,,,
ChIJL9fOg-53GZURPwSPGK85Ntk,Divino Mestre - Escola de Ensino Fundamental,"R. Jerusalém, 660 - Bom Jesus, Porto Alegre - RS, 91420-440, Brazil",http://www.escoladivinomestre.com.br/,(51) 3338-1713,43211429,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/218896-eef-divino-mestre/censo-escolar,,,
ChIJmY8uNtl5GZURdqQQEhvbfl8,Escola Infantil Construindo,"R. Portugal, 266 - Higienópolis, Porto Alegre - RS, 90520-310, Brazil",,(51) 3573-0788,43191398,"PORTO ALEGRE
 ",http://qedu.org.br/escola/230333-eei-construir/sobre,,,
