,deal_id,inep,deal_name,dominio,telefone,link_qedu,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company,cidade_encontrada
26,4274254475,15039480,ESCOLA UNIVERSO POLO IPIXUNA,https://consultas.plus/lista-de-empresas/para/ipixuna-do-para/13497820000425-escola-universo-de-paragominas-eireli/,(91) 98727-6299,http://www.qedu.org.br/escola/21682-eeem-alexandre-zacarias-de-assuncao/sobre,Ipixuna do Pará,,,,,,5285518769,ESCOLA UNIVERSO POLO IPIXUNA,"BELÉM
 "
27,4125744838,50024701,COLÉGIO HERMESINDO ALONSO GONZALEZ,https://funlec.com.br/filiais/hermesindo-alonso-gonzales/34,(67) 3524-5494,https://www.qedu.org.br/escola/259384-colegio-hermesindo-alonso-gonzalez/censo-escolar,Três Lagoas,,,,,,5285528543,COLÉGIO HERMESINDO ALONSO GONZALEZ,"TRÊS LAGOAS
 "
28,4163931228,13093126,CENTRO DE ENSINO MARIA ANGELIM - CEMA,https://mariaangelim.com.br/,(92) 3641-1142,https://www.qedu.org.br/escola/8654-ce-maria-angelim/censo-escolar,Manaus,,,,,,5285541964,CENTRO DE ENSINO MARIA ANGELIM - CEMA,"MANAUS
 "
29,4163969424,,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO,https://www.coc.com.br/nossas-escolas/organizacao-santa-clara-de-ensino-unificado,(18) 3652-9755,,Penápolis,,,,,,5285541969,ORGANIZAÇÃO SANTA CLARA DE ENSINO UNIFICADO,Penápolis
30,4307491687,35161123,COLÉGIO LE PERINI,https://www.leperini.com.br/,(19) 3875-4731,https://www.qedu.org.br/escola/210323-rodin-colegio/censo-escolar,Indaiatuba,,,,,,5285549003,COLÉGIO LE PERINI,"INDAIATUBA
 "
31,4281266078,15168654,ESCOLA TÉCNICA VALE DOS CARAJAS,https://etvc.grupont.com.br/,(94) 3346-8710,https://www.qedu.org.br/escola/287455-escola-tecnica-vale-dos-carajas/sobre,Parauapebas,,,,,,5285522184,ESCOLA TÉCNICA VALE DOS CARAJAS,"PARAUAPEBAS
 "
32,4281254422,31350885,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM,https://www.coc.com.br/nossas-escolas/escola-tecnica-de-formacao-gerencial-unifemm,(31) 2106-2106,https://www.qedu.org.br/escola/261784-et-de-formacao-gerencial-unifemm/sobre,Sete Lagoas,,,,,,5285531188,ESCOLA TECNICA DE FORMACAO GERENCIAL - UNIFEMM,"SETE LAGOAS
 "
33,4281157637,35418961,SOCIEDADE EDUCATIVA EQUILÍBRIO,https://pt-br.facebook.com/sociedadeeducativaequilibrio,(14) 3282-4107,http://www.qedu.org.br/escola/209894-sociedade-educativa-equilibrio-escola-ef/sobre,Duartina,,,,,,5285538225,SOCIEDADE EDUCATIVA EQUILÍBRIO,"DUARTINA
 "
34,4161636052,32022280,CENTRO DE EDUCACAO PROJETAR,http://ceprojetar.com.br/,(27) 3264-3567,https://www.qedu.org.br/escola/163046-ce-projetar/censo-escolar,Linhares,,,,,,5285524204,CENTRO DE EDUCACAO PROJETAR,"LINHARES
 "
35,4162493425,35122038,COC VARGEM GRANDE DO SUL,https://www.instagram.com/coc.vgsul/,-,https://www.qedu.org.br/escola/192960-coc-sistema-de-educacao/censo-escolar,Vargem Grande do Sul,,,,,,5285546863,COC VARGEM GRANDE DO SUL,"SÃO JOSÉ DOS CAMPOS
 "
36,4176511687,35165141,COLÉGIO ALPHA VIRADOURO,https://www.facebook.com/ColegioAlphaViradouro/,(17) 3392-3938,http://www.qedu.org.br/escola/200493-colegio-educacional-de-viradouro/sobre,Viradouro,,,,,,5285627624,COLÉGIO ALPHA VIRADOURO,"VIRADOURO
 "
37,4176487581,33048355,COLÉGIO ALFA,https://alfacolegio.com.br/,(21) 2671-4730,https://www.qedu.org.br/escola/171371-alfa-colegio-e-cursos-limitada/censo-escolar,Duque de Caxias,,,,,,5285534745,COLÉGIO ALFA,"DUQUE DE CAXIAS
 "
38,4168790899,33128456,COC GUANABARA,https://www.coc.com.br/nossas-escolas/todas/5,-,https://www.qedu.org.br/escola/180850-cape-jd-guanabara/censo-escolar,Rio de Janeiro,,,,,,5285536873,COC GUANABARA,"RIO DE JANEIRO
 "
39,4306808352,35129948,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,https://edukandariummondini.com.br/,(11) 2280-2435,http://www.qedu.org.br/escola/186865-colegio-edukandarium-mondini/sobre,São Paulo,,,,,,5285629518,COLÉGIO EDUKANDARIUM MONDINI - UNIDADE I E II,"SÃO PAULO
 "
40,4176482460,35167794,COLÉGIO ALCANCE - EF,https://www.coc.com.br/nossas-escolas/colegio-alcance-ef,(12) 3952-2190,http://www.qedu.org.br/escola/191097-colegio-alcance/sobre,Jacareí,,,E. Orbitando,C/D,,5285636034,COLÉGIO ALCANCE - EF,"JACAREÍ
 "
41,4170488781,35139981,COC SÃO JOÃO,https://www.coc.com.br/nossas-escolas/coc-sao-joao,(19) 3623-1523,http://qedu.org.br/escola/184982-integrado-colegio-experimental/sobre,São João da Boa Vista,,,,,,5285515719,COC SÃO JOÃO,"SÃO JOÃO DA BOA VISTA
 "
42,4176464760,35129948,COLÉGIO EDUKANDARIUM MONDINI,https://edukandariummondini.com.br/,(11) 2280-2435,http://www.qedu.org.br/escola/186865-colegio-edukandarium-mondini/sobre,São Paulo,,,,,,5285552706,COLÉGIO EDUKANDARIUM MONDINI,"SÃO PAULO
 "
43,4176464569,51088231,COLÉGIO EDUCAR RIO VERDE,https://www.coc.com.br/nossas-escolas/colegio-educar-rio-verde,(64) 3624-2638,http://www.qedu.org.br/escola/250360-centro-integrado-educar/sobre,Rio Verde,,,,C/D,,5284588281,COLÉGIO EDUCAR RIO VERDE,"LUCAS DO RIO VERDE
 "
44,4176420851,52055914,COLÉGIO EDUCAR ACREÚNA,https://www.coc.com.br/nossas-escolas/colegio-educar-acreuna,(64) 3645-1143,http://www.qedu.org.br/escola/249392-colegio-objetivo/sobre,Acreúna,,,,,,5285666084,COLÉGIO EDUCAR ACREÚNA,"ACREÚNA
 "
45,4307394725,42116163,COLÉGIO ASTER,https://www.coc.com.br/nossas-escolas/colegio-aster,(47) 3367-5364,http://qedu.org.br/escola/217382-ce-aster/sobre,Balneário Camboriú,,,,,,5285533392,COLÉGIO ASTER,"BALNEÁRIO CAMBORIÚ
 "
46,4307485789,27040917,COLÉGIO AGNUS DEI,https://www.colegioagnusdei.com/,(82) 3352-1097,http://www.qedu.org.br/escola/103969-eeb-agnus-dei/sobre,Rio Largo,,,,,,5284588280,COLÉGIO AGNUS DEI,"RIO LARGO
 "
47,4161099268,35445848,JAÚ CONEXÃO,http://www.conexaojau.com.br/,-,http://www.qedu.org.br/escola/262277-colegio-conexao/sobre,Jaú,,,,,,5285636018,JAÚ CONEXÃO,"ARARAQUARA
 "
48,4175938488,35449748,COLÉGIO COSTA AGUIAR,https://colegiocostaaguiar.com.br/,(11) 2721-5720,https://www.qedu.org.br/escola/263340-colegio-costa-aguiar/censo-escolar,São Paulo,,,,,,5285538215,COLÉGIO COSTA AGUIAR,"SÃO PAULO
 "
49,4169848074,28020065,COC - COLÉGIO SÃO PAULO,https://www.coc.com.br/nossas-escolas/coc-colegio-sao-paulo,(79) 3218-3500,http://www.qedu.org.br/escola/102265-o-mundo-da-crianca-e-colegio-sao-paulo/sobre,Aracaju,,,,A/B,,5285545149,COC - COLÉGIO SÃO PAULO,"ARACAJU
 "
50,4169861161,,COC BERTIOGA,https://www.instagram.com/cocbertioga/,-,,INDAIA,,,,,,5285629511,COC BERTIOGA,INDAIA
51,4169810112,29569605,CENTRO EDUCACIONAL SISTEMA MASTER COC,https://www.coc.com.br/nossas-escolas/centro-educacional-sistema-master,-,https://qedu.org.br/escola/125611-ce-sistema-master/sobre,Camaçari,,,,C/D,,5285531179,CENTRO EDUCACIONAL SISTEMA MASTER,"CAMAÇARI
 "
