place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJB5JXd1J4GZURMZ7JIqz0CjI,M J C,"Av. Venâncio Aires, 777 - Cidade Baixa, Porto Alegre - RS, 91900-590, Brazil",,(51) 3084-5467,43108164,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/259225-colegio-marista-nossa-senhora-do-rosario/censo-escolar,,,
ChIJScwPKgh5GZUREptIVJSVyss,Campanha Nacional de Escola da Comunidade,"R. Voluntários da Pátria, 513 - Centro Histórico, Porto Alegre - RS, 90030-003, Brazil",,(51) 3221-9378,35162243,"SÃO PAULO
 ",http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,,,
ChIJGdX7HbV5GZURKxsDsg3fdBI,Escola Tempo de Crescer,"R. Dr. Florêncio Ygartua, 439 - Moinhos de Vento, Porto Alegre - RS, 90430-010, Brazil",,(51) 3331-9400,43208169,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/230191-eei-tempo-de-crescer/censo-escolar,,,
ChIJpcrg8Kh5GZURWIIVX9OPyds,Leandro Oliveira Pacheco,"Av. Independência - Independência, Porto Alegre - RS, 90035-070, Brazil",,,31253391,"OLIVEIRA
 ",https://www.qedu.org.br/escola/155673-instituto-educacional-apogeu/censo-escolar,,,
ChIJc6LYVAd5GZURj1Yl4HMczio,Escola de Musica Vivace-Metodos Evoluções,"R. Sarmento Leite, 631 - Centro, Porto Alegre - RS, 90050-170, Brazil",,(51) 3226-5842,43133010,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/283774-colegio-metodo/sobre,,,
ChIJgQ7QeoR3GZURPhiQUNkDTSs,Colégio Província de São Pedro,"Av. Marechal Andréa, 345 - Boa Vista, Porto Alegre - RS, 91340-400, Brazil",http://www.colegioprovincia.com.br/,(51) 3328-2810,43108423,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254058-colegio-provincia-de-sao-pedro/sobre,,,
ChIJI3a5WKh5GZURm01varitVSI,Método Medicina Pré-Vestibular,"Av. Independência, 1070 - Independência, Porto Alegre - RS, 90035-073, Brazil",http://www.metodomedicina.com.br/,(51) 3346-3898,42125901,"FLORIANÓPOLIS
 ",http://www.qedu.org.br/escola/217314-colegio-e-pre-vestibular-solucao-ltda-me/sobre,,,
ChIJUzyUCYV3GZURNWRhyEMzp3o,Anchieta College,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000, Brazil",http://www.colegioanchieta.g12.br/,(51) 3382-6000,43104924,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257509-colegio-anchieta/sobre,,Sim,
ChIJpxGUxgh5GZUR4wnGQq26c1M,Escola Status,"13° andar, R. Vig. José Inácio, 371 - Sala 1304 - Centro Histórico, Porto Alegre - RS, 90028-900, Brazil",https://escolastatus.com/,(51) 99104-0718,31118346,"PASSOS
 ",http://www.qedu.org.br/escola/157684-colegio-status/sobre,,,
ChIJpcrg8Kh5GZURDffSudEb8M0,Objetivo Vestibulares,"Av. Independência, 343 - Independência, Porto Alegre - RS, 90035-074, Brazil",,(51) 3286-2195,43105009,"PORTO ALEGRE
 ",http://qedu.org.br/escola/254434-colegio-militar-de-porto-alegre/censo-escolar,,,
ChIJi73e4YZ5GZURrjgcQGjOui4,Aulas de Inglês Particulares da Teacher Jessica,"R. Felipe Camarão, 66 - Rio Branco, Porto Alegre - RS, 90035-140, Brazil",https://aulasdeinglesparticulares.com.br/,(51) 99962-9940,, Porto Alegre ,,,,
ChIJIa6tLlSdGZURb2zG81_VKM8,Escola Nossa Senhora Do Brasil,"R. Alarico Valença, 160 - Vila Joao Pessoa, Porto Alegre - RS, 91520-100, Brazil",http://escolansbrasil.com.br/,(51) 3336-4509,43105343,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254405-eef-nossa-senhora-do-brasil/censo-escolar,,Sim,
ChIJjxb917F5GZURahrxrARtXdM,Escola e Recreação Baby Bety Boop,"R. André Puente - Independência, Porto Alegre - RS, 90035-150, Brazil",,(51) 3311-6280,, 90035,,,,
ChIJsV0aL7Z5GZUR7zaDCei6ta8,Aulas Particulares-Preparação para o Vestibular,"R. 24 de Outubro, 1100 - Independência, Porto Alegre - RS, 90510-002, Brazil",,(51) 3346-4393,, Porto Alegre ,,,,
ChIJXbPOCK15GZURK2QWkfSp2sE,Ingles Em Porto,"Rua General João Telles, 433 - Bom Fim, Porto Alegre - RS, 90035-121, Brazil",http://www.inglesemporto.com/,(51) 98259-4559,43107060,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/233058-eeef-professor-afonso-guerreiro-lima/censo-escolar,,,
